tamales,247.08,10.44,22.37,12.84,142,1
sandwich,154.86,6.22,28.23,1.88,58,1
chilaquiles,875.56,39.83,55.57,55.66,450,1
bologna,86.24,4.26,1.54,6.89,28,1
huevo cocido,77.5,6.29,0.56,5.31,50,1
huevos pericos,194.62,10.79,7.38,13.62,203.5,1
huevos ranchero,643.79,28.55,39.2,42.85,449.65,1
huevos con machaca,347.6,31.89,10.02,20.03,301.68,1
huevos motulenos,195.48,12.51,13.25,10.31,119.37,1
huevos a la mexicana,545.21,26.84,9.62,44.48,392.03,1
enfrijolada,136.01,6.03,23.5,2.59,104.58,1
entomatadas,212.01,7.23,14.81,14.43,120.41,1
molletes,368.86,17.56,37.3,17.16,202.47,1
barbacoa,204.76,33.11,2.35,7.14,113.2,1
beef birria,362.61,28.42,8.97,24.18,238.62,1
gorditas,289.69,17.6,25.66,12.53,125.08,1
pambazo,812.26,25.45,106.14,32.84,446.27,1
tlacoyos,260.93,9.49,38.07,8.61,229.6,1
cecina,55.28,7.88,0.09,2.36,28.35,1
hotcake,90.8,2.56,11.32,3.88,40,1
omelette,323.47,21.13,1.39,25.32,178.38,1
aguacate,321.6,4.02,17.15,29.47,201,1
tostadas,560.29,34.32,34.3,32.45,354.8,1
croissants,272.02,5.49,30.69,14.07,67,1
bagels,277.2,11.09,55,1.39,105,1
papas guisadas,257.84,5.83,34.72,10.93,231,1
arepas,214.62,5.37,36.4,5.27,98,1
pinto gallo,301.59,9.59,51.44,6.48,231.15,1
yogurt,107.1,8.93,11.97,2.64,170,1
greek yogurt,100.3,17.32,6.12,0.66,170,1
fruit yogurt,161.5,7.48,32.3,0.34,170,1
waffles,218.25,5.93,24.68,10.58,75,1
cereal,105.28,3.39,20.5,1.88,28,1
cafe latte,188.54,12.16,18.58,7.36,425.6,1
granola,298.29,8.34,32.87,14.83,61,1
platano,278.4,1.9,74.76,0.43,240,1
orange,68.6,1.27,17.56,0.21,140,1
pera,40.07,1.44,4.95,1.69,10.74,1
melon,60.18,1.49,14.44,0.34,177,1
rice cake,34.83,0.74,7.34,0.25,9,1
quesadilla,713.92,30.9,46.77,44.78,194,1
ensalada,19.98,1.23,4.21,0.2,85,1
tortilla,159.25,4.26,27.24,3.48,49,1
